Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
35	0.3400	13.890465	-375.824005	1011.981934	70.161865	-370.103241	1013.721069	-10.911182	-353.727234	967.122620	42.981010	-348.350983	968.592834	38.296944	-287.468292	866.349792	183.080017	-755.358337	1331.379028	156.133713	-770.800842	1315.064697	213.263504	-705.650513	1334.834106	118.958054	-761.737122	1280.208374	178.668488	-697.113525	1299.009277
36	0.3500	13.902082	-375.819275	1011.999451	70.174210	-370.100800	1013.735352	-10.899815	-353.723206	967.141663	42.992474	-348.344116	968.610657	38.304333	-287.461548	866.358643	183.887878	-753.743774	1331.120972	156.867203	-769.118225	1314.884155	214.195526	-704.158081	1334.424072	119.664207	-760.041016	1280.054199	179.553284	-695.604248	1298.617798
37	0.3600	13.913605	-375.814484	1012.016785	70.186424	-370.098297	1013.749451	-10.888571	-353.719116	967.160461	43.003792	-348.337250	968.628235	38.311615	-287.454834	866.367310	184.709686	-752.048279	1330.858765	157.616928	-767.360840	1314.697754	215.137070	-702.579529	1334.007813	120.386398	-758.275269	1279.895508	180.446014	-694.015930	1298.223389
38	0.3700	13.925031	-375.809662	1012.033936	70.198509	-370.095734	1013.763367	-10.877449	-353.714996	967.179016	43.014961	-348.330383	968.645569	38.318787	-287.448181	866.375793	185.542099	-750.278198	1330.587891	158.380219	-765.535034	1314.499023	216.085312	-700.919861	1333.584839	121.123283	-756.444275	1279.724976	181.345871	-692.351685	1297.824585
39	0.3800	13.936361	-375.804840	1012.050903	70.210480	-370.093140	1013.777161	-10.866452	-353.710846	967.197388	43.025990	-348.323517	968.662720	38.325851	-287.441559	866.384094	186.381836	-748.439758	1330.304810	159.154266	-763.646851	1314.282593	217.037628	-699.184143	1333.154541	121.873291	-754.552063	1279.536499	182.251999	-690.614807	1297.420044
40	0.3900	13.947596	-375.799957	1012.067688	70.222328	-370.090485	1013.790771	-10.855577	-353.706635	967.215515	43.036869	-348.316650	968.679626	38.332809	-287.434998	866.392151	187.225830	-746.538513	1330.006348	159.936340	-761.701660	1314.044067	217.991714	-697.377502	1332.716431	122.634636	-752.602295	1279.324829	183.163620	-688.808716	1297.008545
41	0.4000	13.958734	-375.795044	1012.084290	70.234047	-370.087769	1013.804199	-10.844828	-353.702423	967.233398	43.047604	-348.309784	968.696289	38.339653	-287.428497	866.400024	188.071365	-744.579773	1329.690308	160.723846	-759.704163	1313.780273	218.945618	-695.504883	1332.270142	123.405487	-750.598206	1279.086548	184.080078	-686.936951	1296.588989
42	0.4100	13.969775	-375.790100	1012.100708	70.245644	-370.084991	1013.817505	-10.834201	-353.698151	967.251038	43.058193	-348.302917	968.712708	38.346394	-287.422028	866.407715	188.916168	-742.568176	1329.354980	161.514420	-757.658386	1313.489380	219.897827	-693.571167	1331.815063	124.184029	-748.542542	1278.818970	185.000793	-685.002991	1296.160278
43	0.4200	13.980721	-375.785156	1012.116943	70.257118	-370.082153	1013.830627	-10.823698	-353.693848	967.268494	43.068638	-348.296051	968.728943	38.353024	-287.415588	866.415161	189.758408	-740.507690	1328.999512	162.306091	-755.567566	1313.170288	220.847290	-691.580933	1331.351196	124.968590	-746.437744	1278.520874	185.925308	-683.010559	1295.721680
44	0.4300	13.991569	-375.780151	1012.132996	70.268471	-370.079285	1013.843567	-10.813319	-353.689514	967.285645	43.078938	-348.289154	968.744873	38.359543	-287.409210	866.422424	190.596832	-738.401794	1328.623535	163.097336	-753.434387	1312.823486	221.793365	-689.538513	1330.878052	125.757683	-744.285828	1278.192261	186.853317	-680.963135	1295.272339
45	0.4400	14.002319	-375.775116	1012.148865	70.279701	-370.076355	1013.856384	-10.803065	-353.685150	967.302612	43.089088	-348.282288	968.760620	38.365955	-287.402893	866.429504	191.430710	-736.253418	1328.227417	163.887054	-751.260681	1312.449707	222.735870	-687.447937	1330.395386	126.550072	-742.088379	1277.833862	187.784668	-678.864197	1294.811523
46	0.4500	14.012974	-375.770050	1012.164551	70.290802	-370.073364	1013.869019	-10.792934	-353.680756	967.319397	43.099094	-348.275421	968.776123	38.372261	-287.396637	866.436340	192.259842	-734.064880	1327.811523	164.674606	-749.047974	1312.050903	223.674988	-685.312927	1329.902832	127.344841	-739.846863	1277.447266	188.719299	-676.717285	1294.338501
47	0.4600	14.023529	-375.764954	1012.180115	70.301781	-370.070313	1013.881470	-10.782928	-353.676331	967.335876	43.108955	-348.268524	968.791443	38.378456	-287.390381	866.442993	193.084503	-731.838013	1327.377197	165.459854	-746.797119	1311.629272	224.611237	-683.136841	1329.400146	128.141373	-737.562500	1277.034790	189.657257	-674.525635	1293.852661
48	0.4700	14.033988	-375.759857	1012.195435	70.312630	-370.067230	1013.893799	-10.773047	-353.671844	967.352173	43.118668	-348.261658	968.806519	38.384541	-287.384216	866.449463	193.905380	-729.574585	1326.925537	166.243057	-744.508911	1311.187378	225.545441	-680.922791	1328.886963	128.939392	-735.236511	1276.598877	190.598709	-672.292542	1293.353149
49	0.4800	14.044348	-375.754700	1012.210571	70.323357	-370.064056	1013.905945	-10.763291	-353.667358	967.368225	43.128235	-348.254761	968.821289	38.390518	-287.378082	866.455688	194.723541	-727.275818	1326.458008	167.024811	-742.183777	1310.727905	226.478546	-678.673645	1328.362793	129.738892	-732.870117	1276.142456	191.543839	-670.021179	1292.839355
50	0.4900	14.054609	-375.749512	1012.225525	70.333961	-370.060883	1013.917908	-10.753659	-353.662811	967.384033	43.137657	-348.247894	968.835876	38.396389	-287.372009	866.461731	195.540253	-724.943054	1325.975708	167.806015	-739.822388	1310.253662	227.411682	-676.392029	1327.827271	130.540146	-730.464783	1275.668091	192.492889	-667.714539	1292.310547
51	0.5000	14.064772	-375.744293	1012.240295	70.344437	-370.057617	1013.929749	-10.744153	-353.658234	967.399597	43.146931	-348.241028	968.850281	38.402149	-287.365967	866.467590	196.356949	-722.577454	1325.480103	168.587769	-737.425354	1309.766968	228.345993	-674.080383	1327.279419	131.343628	-728.022034	1275.178589	193.446075	-665.375549	1291.765747
52	0.5100	14.074835	-375.739044	1012.254944	70.354790	-370.054291	1013.941406	-10.734772	-353.653625	967.414978	43.156059	-348.234131	968.864380	38.407803	-287.359985	866.473206	197.175110	-720.180420	1324.972046	169.371277	-734.993469	1309.269897	229.282562	-671.740906	1326.718750	132.149963	-725.543884	1274.675903	194.403610	-663.007019	1291.204224
