Trajectories
100
		head:TopLeft			head:TopRight			head:BottomLeft			head:BottomRight			head:Whole			head:Brow			head:Tip			head:StickTopLeft			head:StickTopRight			head:StickBottomLeft			head:StickBottomRight			head:StickEnd			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
43	0	-34.961864	-340.886444	1007.694214	21.178074	-344.793060	1010.759705	-54.582878	-313.492249	963.482117	-0.782978	-317.252838	966.325928				7.410238	-253.139191	865.650085	172.589157	-389.460358	1233.955933	190.497345	-405.220520	1208.318970	127.029762	-354.911316	1244.828003	190.300140	-413.066803	1157.256714	127.666664	-360.772644	1194.815796			
44	0	-34.963131	-340.886047	1007.694214	21.176678	-344.792358	1010.759705	-54.583984	-313.490875	963.482605	-0.784080	-317.252533	966.325684				7.409684	-253.138962	865.650085	172.200073	-389.566711	1234.028931	190.124939	-405.310669	1208.404541	126.638260	-355.005005	1244.863037	189.983047	-413.106415	1157.350220	127.325218	-360.820374	1194.855225			
45	0	-34.964409	-340.885742	1007.694214	21.175268	-344.791718	1010.759705	-54.585102	-313.489532	963.483032	-0.785191	-317.252258	966.325562				7.409124	-253.138748	865.650146	171.826736	-389.685150	1234.093628	189.766861	-405.413025	1208.481079	126.264618	-355.108917	1244.892700	189.678299	-413.156097	1157.434692	126.999901	-360.877045	1194.889648			
46	0	-34.965702	-340.885406	1007.694336	21.173851	-344.791016	1010.759705	-54.586239	-313.488190	963.483398	-0.786313	-317.251953	966.325378				7.408558	-253.138565	865.650146	171.469452	-389.810211	1234.150879	189.423615	-405.523132	1208.549316	125.908852	-355.217682	1244.917480	189.386490	-413.213440	1157.510864	126.691055	-360.939362	1194.919312			
47	0	-34.967003	-340.885040	1007.694336	21.172426	-344.790405	1010.759705	-54.587376	-313.486877	963.483826	-0.787445	-317.251648	966.325195				7.407986	-253.138367	865.650146	171.128601	-389.936676	1234.201172	189.095840	-405.636536	1208.610229	125.571030	-355.326111	1244.937378	189.108170	-413.276093	1157.579102	126.398979	-361.004242	1194.944458			
48	0	-34.968307	-340.884705	1007.694336	21.170990	-344.789734	1010.759705	-54.588528	-313.485565	963.484192	-0.788587	-317.251373	966.325134				7.407408	-253.138184	865.650146	170.804688	-390.059692	1234.245483	188.784149	-405.749146	1208.664429	125.251350	-355.429413	1244.952637	188.843872	-413.341858	1157.639771	126.123993	-361.068756	1194.965210			
49	0	-34.969627	-340.884460	1007.694336	21.169544	-344.789154	1010.759705	-54.589684	-313.484283	963.484558	-0.789739	-317.251129	966.324951				7.406823	-253.138000	865.650146	170.498322	-390.174805	1234.284546	188.489288	-405.856995	1208.712646	124.950180	-355.523132	1244.963623	188.594101	-413.408447	1157.693481	125.866409	-361.130157	1194.981689			
50	0	-34.970963	-340.884155	1007.694336	21.168091	-344.788544	1010.759827	-54.590858	-313.483002	963.484924	-0.790900	-317.250885	966.324768				7.406233	-253.137833	865.650208	170.210236	-390.278076	1234.318359	188.212006	-405.956726	1208.755859	124.667984	-355.603699	1244.970459	188.359329	-413.473938	1157.740723	125.626549	-361.186035	1194.994141			
51	0	-34.972298	-340.883881	1007.694458	21.166626	-344.787964	1010.759827	-54.592041	-313.481750	963.485413	-0.792072	-317.250641	966.324585				7.405636	-253.137650	865.650269	169.941269	-390.366302	1234.348022	187.953140	-406.045380	1208.794067	124.405418	-355.667969	1244.973022	188.139954	-413.536469	1157.781860	125.404732	-361.234283	1195.002686			
52	0	-34.973656	-340.883606	1007.694458	21.165154	-344.787384	1010.759827	-54.593235	-313.480499	963.485779	-0.793254	-317.250366	966.324463				7.405033	-253.137497	865.650269	169.692276	-390.436951	1234.373413	187.713501	-406.120514	1208.827881	124.163200	-355.713684	1244.972168	187.936371	-413.594452	1157.817139	125.201256	-361.273193	1195.007324			
